Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,PassAttemptsPerGame,PassingYards,CompletionPercentage,PassingTouchdowns,Interceptions,MoneyThrows,TouchdownRate,ProtectionRate,PressuredCompletionPercentage,AirYards,AirYardsPerGame,AirYardsPerAttempt,DeepBallAttempts,DeepBallCompletionPercentage
1,19781,L. Jackson,25.5,26.7,3127,66.1,36,6,19,9,87.3,34.7,1883,125.5,4.7,60,33.3
2,18055,D. Prescott,28.9,37.2,4901,65.1,30,11,23,5,85.8,33.1,3098,193.6,5.2,78,48.7
3,14536,R. Wilson,33.6,32.2,4111,66.1,31,5,33,6,78.2,33.3,2521,157.6,4.9,83,39.8
4,18857,D. Watson,26.8,33,3852,67.3,26,12,24,5.3,84.8,44.8,2284,152.3,4.6,81,42
5,16762,J. Winston,28.5,39.1,5109,60.7,33,30,19,5.3,82.8,37.2,3248,203,5.2,113,36.3
6,19801,J. Allen,26.1,28.8,3089,58.8,20,9,7,4.3,74,17.1,1761.5,110.1,3.8,72,25
7,20889,K. Murray,24.9,33.9,3722,64.4,20,12,26,3.7,84.3,30.6,1984,124,3.7,70,44.3
8,18890,P. Mahomes,26.8,34.6,4031,65.9,26,5,19,5.4,80.7,44.7,2083,148.8,4.3,68,48.5
9,732,M. Ryan,37.1,41.1,4466,66.2,26,14,20,4.2,80.1,34.9,2842,189.5,4.6,66,36.4
10,17920,C. Wentz,29.5,37.9,4039,63.9,27,7,19,4.4,81.7,36.8,2266.5,141.7,3.7,69,34.8
11,2593,A. Rodgers,38.6,35.6,4002,62,26,4,34,4.6,85.3,32.2,2133,133.3,3.7,94,34
12,4314,T. Brady,44.9,38.3,4057,60.8,24,8,18,3.9,83,28.4,2224.5,139,3.6,60,41.7
13,17922,J. Goff,27.7,39.1,4639,62.9,22,16,12,3.5,85,32.3,2474,154.6,4,54,29.6
14,16041,J. Garoppolo,30.7,29.8,3979,69.1,27,13,12,5.7,83.5,46.9,1865,116.6,3.9,36,55.6
15,8244,P. Rivers,40.6,36.9,4615,66,23,20,14,3.9,85.4,37.6,2490,155.6,4.2,75,30.7
16,8283,R. Fitzpatrick,39.6,33.5,3529,62,20,13,17,4,80,37.4,2349,156.6,4.7,66,37.9
17,16311,D. Carr,31.3,32.1,4055,70.4,21,8,8,4.1,88.6,34.8,1896,118.5,3.7,47,36.2
18,14252,K. Cousins,33.9,29.6,3602,69.1,26,6,18,5.9,88.1,40.6,1937,129.1,4.4,57,40.4
19,19790,B. Mayfield,27.2,33.4,3827,59.4,22,21,25,4.1,77.6,40.8,2096,131,3.9,74,39.2
20,20880,G. Minshew,26.1,33.6,3271,60.6,21,6,16,4.5,81.6,27.1,1764,126,3.8,51,45.1
21,7242,D. Brees,43.5,34.4,2979,74.3,27,4,18,7.1,85.5,45.5,1558,141.6,4.1,33,42.4
22,13799,R. Tannehill,33.9,23.8,2742,70.3,22,6,13,7.7,83.3,44.3,1517,126.4,5.3,40,32.5
23,20841,D. Jones,25.1,35.3,3027,61.9,24,12,18,5.2,72.3,38.9,1690,130,3.7,56,30.4
24,18018,J. Brissett,29.6,29.8,2942,60.9,18,6,10,4,83.2,29,1501,100.1,3.4,42,33.3
25,12841,A. Dalton,34.7,40.6,3493,59.5,16,14,16,3,82.9,26.2,2018,155.2,3.8,52,34.6
26,18811,M. Trubisky,27.9,34.4,3138,63.2,17,10,9,3.3,76,29,1819,121.3,3.5,66,34.8
27,19812,S. Darnold,25.1,33.9,3024,61.9,19,13,11,4.3,77.5,40.3,1606,123.5,3.6,55,27.3
28,20053,K. Allen,26.3,37.6,3322,62,17,16,7,3.5,86.1,24.8,1689,129.9,3.5,56,23.2
29,9038,M. Stafford,34.4,36.4,2499,64.3,19,5,14,6.5,80.5,28.3,1634,204.2,5.6,55,38.2
30,19850,M. Rudolph,27,28.3,1765,62.2,13,9,5,4.6,85.6,33.3,854,85.4,3,40,25
31,15694,C. Keenum,34.4,24.7,1707,64.8,11,5,4,4.5,82.7,40,904,90.4,3.7,19,31.6
32,611,J. Flacco,37.5,32.8,1822,65.3,6,5,5,2.3,78,47.9,965,120.6,3.7,27,29.6
