Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18877,Christian McCaffrey,CAR,RB,16,287,1387,4.8,15,141,116,1005,4,1,0,22.2,355.2
2,17959,Derrick Henry,TEN,RB,15,303,1540,5.1,16,24,18,206,2,5,3,18.4,276.6
3,19045,Aaron Jones,GB,RB,16,236,1084,4.6,16,68,49,474,3,3,2,16.6,265.8
4,17923,Ezekiel Elliott,DAL,RB,16,301,1357,4.5,12,71,54,420,2,3,2,16.1,257.7
5,18872,Dalvin Cook,MIN,RB,14,250,1135,4.5,13,63,53,519,0,4,2,17.1,239.4
6,19798,Nick Chubb,CLE,RB,16,298,1494,5,8,49,36,278,0,3,3,13.7,219.2
7,19562,Austin Ekeler,LAC,RB,16,132,557,4.2,3,108,92,993,8,3,2,13.6,217
8,13337,Mark Ingram II,BAL,RB,15,202,1018,5,10,29,26,247,5,2,2,14.4,216.5
9,19119,Chris Carson,SEA,RB,15,278,1230,4.4,7,47,37,266,2,7,4,13,195.6
10,19766,Saquon Barkley,NYG,RB,13,217,1003,4.6,6,73,52,438,2,1,0,14.8,192.1
11,18858,Joe Mixon,CIN,RB,16,278,1137,4.1,5,45,35,287,3,0,0,11.9,190.4
12,16771,Todd Gurley II,LAR,RB,15,223,857,3.8,12,49,31,207,2,3,2,12.6,188.4
13,18803,Leonard Fournette,JAX,RB,15,265,1152,4.3,3,100,76,522,0,1,1,12.2,183.4
14,20824,Josh Jacobs,LV,RB,13,242,1150,4.8,7,27,20,166,0,1,1,13.2,171.6
15,20933,Miles Sanders,PHI,RB,16,179,818,4.6,3,63,50,509,3,2,1,10.5,168.7
16,18878,Alvin Kamara,NO,RB,14,171,797,4.7,5,97,81,533,1,4,1,12,167.52
17,18998,Marlon Mack,IND,RB,14,247,1091,4.4,8,17,14,82,0,0,0,12,167.3
18,18003,Kenyan Drake,ARI,RB,14,170,817,4.8,8,68,50,345,0,2,1,11.7,164.2
19,20128,Phillip Lindsay,DEN,RB,16,224,1011,4.5,7,48,35,196,0,0,0,10.2,162.7
20,17217,Raheem Mostert,SF,RB,16,137,772,5.6,8,22,14,180,2,2,2,9.4,151.2
21,14967,Le'Veon Bell,NYJ,RB,15,245,789,3.2,3,78,66,461,1,1,1,9.9,149
22,20882,David Montgomery,CHI,RB,16,242,889,3.7,6,35,25,185,1,2,2,9.1,145.4
23,16668,Carlos Hyde,HOU,RB,16,245,1070,4.4,6,16,10,42,0,4,2,9,143.2
24,19828,Sony Michel,NE,RB,16,247,912,3.7,7,20,12,94,0,2,1,8.8,140.6
25,16776,Melvin Gordon III,LAC,RB,12,162,612,3.8,8,55,42,296,1,4,3,11.6,138.8
26,16524,Devonta Freeman,ATL,RB,14,184,656,3.6,2,70,59,410,4,3,2,9.9,138.6
27,19861,Ronald Jones II,TB,RB,16,172,724,4.2,6,40,31,309,0,3,2,8.5,135.3
28,4807,Adrian Peterson,WAS,RB,15,211,898,4.3,5,23,17,142,0,3,2,8.7,130
29,16056,James White,NE,RB,15,67,263,3.9,1,95,72,645,5,1,1,8.5,128.2
