Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,18878,A. Kamara,27,187,932,4.98,16,107,83,756,5,58.76,61.37,26.2,5.51,73.79,4.79,7.04,25.13,41.17,34.22
2,18872,D. Cook,26.9,312,1557,4.99,16,54,44,361,1,71.8,79.91,17.3,4.51,83.65,5.03,7.16,30.44,45.83,24.67
3,17959,D. Henry,28.5,378,2027,5.36,17,31,19,114,0,65.65,78.5,13.22,4.3,87.03,5.5,7.13,31.74,43.91,24.33
4,20882,D. Montgomery,25.1,247,1070,4.33,8,68,54,438,2,72.88,90,44.12,5.25,56.27,3.58,6.86,19.02,43.72,37.65
5,19045,A. Jones,27.6,201,1104,5.49,9,63,47,355,2,59.95,60.55,36.81,6.33,63.18,5,6.76,24.87,33.83,40.79
6,21682,J. Taylor,23.5,232,1169,5.03,11,39,36,299,1,48.08,52.82,46.98,5.91,53.01,4.26,6.91,21.98,43.1,34.91
7,21970,J. Robinson,23.9,240,1070,4.45,7,60,49,344,3,70.82,85.71,29.16,6.54,71.66,3.59,6.73,17.08,39.58,43.75
8,20824,J. Jacobs,24.4,273,1065,3.9,12,45,33,238,0,61.41,68.83,33.69,4.34,66.3,3.66,6.98,29.67,32.6,37.36
9,17923,E. Elliott,27,244,979,4.01,6,71,52,338,2,72.42,71.91,34.01,3.93,65.98,4.04,6.5,12.7,40.16,46.31
10,18944,K. Hunt,26.9,198,841,4.24,6,51,38,304,5,50.83,49.4,13.13,4.57,86.86,4.19,7.12,31.81,45.45,22.22
11,19798,N. Chubb,26.5,190,1067,5.61,12,18,16,150,0,48.61,51.61,12.63,4,87.36,5.84,7.06,28.94,48.94,21.05
12,16887,M. Davis,29.4,165,642,3.89,6,70,59,373,2,60.04,61.67,21.21,3.65,78.78,3.97,7.14,37.57,36.36,25.45
13,21861,A. Gibson,24,170,795,4.67,11,44,36,247,0,42.99,47.34,60.58,4.92,39.41,4.29,6.51,12.94,27.05,60
14,16776,M. Gordon III,29.2,215,986,4.58,9,44,32,158,1,63.09,62.86,41.39,4.87,58.6,4.38,6.25,12.09,24.18,63.72
15,19912,N. Hines,25.6,89,380,4.26,3,76,63,482,4,35.19,30.38,78.65,4.18,22.47,4.35,6.5,12.35,23.59,65.16
16,18003,K. Drake,28.4,239,955,3.99,10,31,25,137,0,56.8,66.17,88.7,3.89,11.29,4.77,6.59,16.31,34.72,47.69
17,18464,J. McKissic,28.9,85,365,4.29,1,110,80,589,2,57.81,38.23,60,4.17,40,4.47,6.35,9.41,23.52,67.05
18,21684,D. Swift,23.5,114,521,4.57,8,57,46,357,2,47.46,48.57,35.96,3.63,64.03,5.09,6.95,26.31,41.22,32.45
19,19119,C. Carson,27.8,141,681,4.82,5,46,37,287,4,51.04,57.89,46.8,4.75,53.19,4.89,6.54,9.21,43.97,46.09
20,19861,R. Jones II,24.9,192,978,5.09,7,42,28,165,1,46.71,60.15,24.47,5.7,75.52,4.89,6.88,22.39,38.02,39.58
21,16847,D. Johnson,30.6,147,691,4.7,6,46,33,314,2,73.8,73.94,59.18,4.42,40.81,5.1,6.57,17.68,35.37,46.25
22,21769,C. Edwards-Helaire,23.2,181,803,4.43,4,54,36,297,1,58.58,66.76,64.64,4.82,35.35,3.73,6.48,12.7,30.38,56.9
23,20933,M. Sanders,25.2,164,867,5.28,6,52,28,197,0,70.36,76.32,71.95,5.97,28.65,3.44,6.65,15.24,42.07,42.07
24,21674,J. Dobbins,23.6,134,805,6,9,24,18,120,0,46.93,40.3,93.28,6.16,7.46,3.4,7.2,28.35,51.49,20.89
25,19919,C. Edmonds,26.2,97,448,4.61,1,67,53,402,4,43.77,37.44,92.78,4.72,7.21,2.85,6.22,10.3,22.68,67.01
26,19562,A. Ekeler,27.1,116,530,4.56,1,65,54,403,2,56.25,54.84,50,4.53,50,4.6,6.64,13.79,43.1,43.1
27,18983,J. Conner,27.2,169,721,4.26,6,43,35,215,0,60.83,63.85,60.35,4.46,39.64,3.91,6.97,27.81,32.54,39.64
28,20768,M. Gaskin,25.4,142,584,4.11,3,47,41,388,2,67.19,67.98,69.01,4.5,30.98,3.25,6.77,17.6,41.54,40.14
29,16771,T. Gurley II,27.9,195,678,3.47,9,34,25,164,0,48.81,54.78,23.07,5.35,77.43,2.9,6.87,18.97,42.05,39.48
30,14916,G. Bernard,30.6,124,416,3.35,3,59,47,355,3,46.44,42.16,66.12,3.7,33.87,2.66,6.56,12.9,36.29,50
31,20941,D. Singletary,24.8,156,687,4.4,2,50,38,269,0,56.39,56.43,52.56,4.29,47.43,4.51,6.03,2.56,28.84,67.3
32,20360,J. Wilson Jr.,26.6,126,600,4.76,7,28,13,133,3,39.48,45.16,30.95,4.46,69.04,4.93,7.18,28.57,53.96,17.46
33,18996,W. Gallman,27.8,147,682,4.63,6,27,21,114,0,41,46.52,37.41,3.45,62.58,5.34,7.16,36.05,38.77,24.48
34,15071,L. Murray,32.5,146,656,4.49,4,26,23,176,1,31.62,35.9,11.64,3.7,88.35,4.59,7.34,43.15,45.89,10.95
35,18803,L. Fournette,27.5,97,367,3.78,6,47,36,233,0,42.78,41.86,22.68,3.31,77.31,3.92,6.84,17.52,43.29,39.17
36,20798,D. Henderson Jr.,24.9,138,624,4.52,5,24,16,159,1,32.11,38.02,4.34,4.16,95.65,4.55,6.89,26.08,42.75,31.15
37,20239,G. Edwards,27.2,144,723,5.02,6,13,9,129,0,33.46,38.1,93.05,5.26,6.94,1.8,7.3,33.33,51.38,15.27
38,18995,J. Williams,27.3,119,505,4.24,2,35,31,236,1,45.61,36.15,50.42,3.66,51.26,4.67,6.86,21.84,37.81,42.01
39,16510,J. McKinnon,30.2,81,319,3.93,5,46,33,253,1,32.41,26.13,50.61,3.73,49.38,4.15,6.66,19.75,43.2,35.8
40,4807,A. Peterson,37.3,156,604,3.87,7,18,12,101,0,29.88,40.55,22.43,3.68,77.56,3.92,6.92,25,39.1,35.25
41,20912,T. Pollard,25.2,101,435,4.3,4,40,28,193,1,31.46,30.45,36.63,4.13,63.36,4.4,6.75,25.74,32.67,41.58
42,16056,J. White,30.4,35,121,3.45,2,62,49,375,1,37.54,24.61,62.85,3.81,37.14,2.84,6.45,17.14,17.14,65.71
43,17053,M. Brown,29.1,101,419,4.14,5,33,23,162,0,42.11,29.45,14.85,3.8,85.14,4.19,6.38,13.86,35.64,48.51
44,14917,R. Burkhead,32,67,274,4.08,3,33,25,192,3,40.12,32.36,29.85,3.7,70.14,4.25,6.7,17.91,35.82,46.26
45,21688,C. Akers,23,145,625,4.31,2,14,11,123,1,32.46,42.17,5.51,2,94.48,4.44,7.3,35.86,49.65,14.48
46,21784,Z. Moss,24.6,112,481,4.29,4,18,14,95,1,43.85,43.91,31.25,3.51,68.75,4.64,6.62,14.28,32.14,53.57
47,5820,F. Gore,39.1,187,653,3.49,2,19,16,89,0,41.25,51.11,37.96,3.85,62.03,3.26,6.4,10.69,31.55,57.75
48,17217,R. Mostert,30.2,104,521,5,2,19,16,156,1,44.58,47.49,37.5,4.35,62.5,5.4,7.01,22.11,55.76,22.11
49,18858,J. Mixon,26,119,428,3.59,3,26,21,138,1,66.04,81.46,46.21,3.76,53.78,3.45,6.53,13.44,26.89,59.66
50,20039,B. Scott,27.2,80,374,4.67,1,36,25,212,1,32.45,30.93,66.25,4.98,33.75,4.07,6.63,20,33.75,45
51,19033,B. Hill,26.7,100,465,4.65,1,30,25,199,0,28.41,28.76,24,6.83,76,3.96,6.6,14,37,49
52,19824,K. Ballage,26.5,91,303,3.32,3,37,29,166,0,38.27,37.64,53.84,3.81,46.15,2.76,6.79,16.48,43.95,39.56
53,20790,D. Harris,25.4,137,691,5.04,2,7,5,52,0,40.71,48.48,10.94,4.86,89.05,5.06,7.35,42.33,49.63,7.29
54,18877,C. McCaffrey,26.1,59,225,3.81,5,19,17,149,1,75.94,82.97,30.5,3.5,69.49,3.92,6.76,23.72,38.98,35.59
55,20868,A. Mattison,24,96,434,4.52,2,15,13,125,1,25.52,27.13,16.66,5.68,83.33,4.28,7.15,32.29,46.87,20.83
56,17970,D. Booker,30.1,93,423,4.54,3,21,17,84,0,21.99,23.31,37.63,4.37,62.36,4.65,6.81,24.73,36.55,38.7
57,16668,C. Hyde,31.8,81,356,4.39,4,20,16,93,0,36.44,36.33,46.91,4,54.32,4.7,6.83,22.22,39.5,39.5
58,16838,D. Johnson,28.8,77,235,3.05,1,35,28,249,1,50.53,45.16,63.63,2.69,36.36,3.67,6.98,24.67,54.54,19.48
59,14901,K. Juszczyk,31.2,17,64,3.8,2,29,19,202,4,43.8,8.6,17.6,2.3,82.4,4.1,7.88,70.6,29.4,0
60,21776,J. Kelley,24.6,111,354,3.18,2,23,23,148,0,27.03,28.09,37.83,3.14,62.16,3.21,6.72,19.81,28.82,51.35
61,19828,S. Michel,27.4,79,449,5.68,1,9,7,114,1,31.52,37.44,25.31,4.2,74.68,6.18,7.25,37.97,41.77,20.25
62,20950,B. Snell Jr.,24.4,111,368,3.31,4,14,10,61,0,25.73,31.01,52.25,4.63,47.74,1.86,7.12,37.83,24.32,36.03
63,14967,L. Bell,30.4,82,328,4,2,20,16,138,0,36.18,38.93,56.09,4.02,45.12,3.86,6.42,9.75,37.8,51.21
64,19822,K. Johnson,25,52,181,3.48,2,26,19,187,1,27.55,18.18,34.61,4.16,65.38,3.11,6.76,17.3,44.23,38.46
65,15150,C. Patterson,31.3,64,232,null,1,25,21,132,0,18.32,null,null,null,null,null,null,null,null,null
66,21843,S. Ahmed,23.5,75,319,4.25,3,14,11,61,0,51.04,57.05,72,5.03,28,2.23,6.7,13.33,44,41.33
67,20128,P. Lindsay,28,118,502,4.25,1,14,7,28,0,39.43,42.58,44.06,4.38,55.93,4.15,6.43,12.71,30.5,56.77
68,18993,S. Perine,26.8,63,301,4.77,3,12,11,66,0,18.89,17.28,65.07,4.21,34.92,5.81,6.58,12.69,46.03,39.68
69,20064,J. Jackson,26.2,59,270,4.57,0,24,19,173,0,28.82,27.94,49.15,4.44,50.84,4.7,6.38,5.08,32.2,62.71
70,20837,T. Johnson,24.8,54,254,4.7,1,21,16,99,1,21.98,20.6,25.92,4.14,74.07,4.9,6.55,11.11,38.88,50
71,19979,J. Wilkins,28,84,308,3.66,1,16,12,105,0,16.8,19.92,47.61,3.97,52.38,3.38,6.95,29.76,33.33,36.9
72,19924,I. Smith,26.8,63,268,4.25,1,26,17,75,0,22.8,22.87,41.26,4.26,60.31,4.13,6.57,14.28,31.74,55.55
73,12708,D. Lewis,31.8,29,115,3.96,2,30,19,127,1,29,15.01,55.17,4.87,44.82,2.84,6.24,17.24,24.13,55.17
74,21804,D. Dallas,23.8,34,108,3.17,2,20,17,111,1,18.11,17.36,67.64,2.78,32.35,4,6.79,14.7,44.11,41.17
75,18375,P. Barber,28.4,94,258,2.74,4,7,4,12,0,17.44,19.8,35.1,2.66,64.89,2.78,7.32,39.36,46.8,13.82
76,20500,D. Williams,27.2,39,169,4.33,1,26,18,116,0,28.19,18.36,79.48,4.25,20.51,4.62,6.1,7.69,12.82,79.48
77,13337,M. Ingram II,32.5,72,299,4.15,2,8,6,50,0,23.03,29.09,98.61,4.19,1.38,1,7.19,25,59.72,15.27
78,21797,L. Perine,24.4,64,232,3.62,2,15,11,63,0,30.26,29.47,37.5,3.75,62.5,3.52,6.48,10.93,35.93,53.12
79,18690,J. Richard,28.7,22,123,5.59,1,23,19,138,0,20.23,10.71,72.72,6.5,27.27,3.16,6.27,4.54,27.27,68.18
80,19065,J. McNichols,26.5,47,204,4.34,1,17,12,55,0,23.6,12.28,27.65,6,72.34,3.7,6.82,29.78,34.04,36.17
81,15102,C. Thompson,31.7,7,20,2.85,0,23,20,146,1,28.4,15.15,71.42,3.8,28.57,0.5,6.57,28.57,0,71.42
82,19319,M. Breida,27.4,59,254,4.3,0,10,9,96,0,18.63,20.17,72.88,4.93,27.11,2.62,6.3,11.86,22.03,64.4
83,14269,A. Morris,33.6,55,238,4.32,1,4,3,19,1,19.06,25.54,40,5.09,60,3.81,7.18,30.9,47.27,21.81
84,21802,A. Dillon,24.2,46,242,5.26,2,2,2,21,0,13.47,13.87,47.82,6.13,52.17,4.45,7.06,26.08,52.17,21.73
85,19823,R. Freeman,26.4,35,170,4.85,0,13,12,81,0,16.76,10.81,62.85,5.22,37.14,4.23,6.28,5.71,28.57,65.71
86,20075,J. Adams,25.7,29,157,5.41,2,8,6,29,0,15.09,16.74,20.68,2.33,79.31,6.21,6.89,27.58,41.37,27.58
87,21775,R. Smith,26.4,41,156,3.8,1,11,9,59,0,30.97,32.91,43.9,4.55,56.09,3.21,6.63,9.75,46.34,43.9
88,16524,D. Freeman,30.3,54,172,3.18,1,10,7,58,0,46.59,55.17,38.88,3.19,61.11,3.18,6.2,1.85,25.92,72.22
89,20964,D. Thompson,25.4,27,97,3.59,1,11,7,65,1,8.42,10.41,66.66,3.38,33.33,4,6.4,11.11,29.62,59.25
90,20810,T. Homer,23.9,25,88,3.52,0,10,9,90,1,22.31,15.69,60,4.46,40,2.1,6.2,8,32,60
