Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,15048,Travis Kelce,KC,TE,15,145,105,72.4,1416,11,45,9.8,13.5,0,0,0,0,1,1,13.9,207.76
2,16964,Darren Waller,LV,TE,16,145,107,73.8,1196,9,38,8.2,11.2,0,0,0,0,2,2,10.7,171.6
3,19491,Robert Tonyan,GB,TE,16,59,52,88.1,586,11,45,9.9,11.3,0,0,0,0,0,0,7.8,124.6
4,19803,Mark Andrews,BAL,TE,14,88,58,65.9,701,7,39,8,12.1,0,0,0,0,2,0,8,112.1
5,20805,T.J. Hockenson,DET,TE,16,101,67,66.3,723,6,51,7.2,10.8,1,0,0,0,1,1,6.8,108.3
6,19853,Mike Gesicki,MIA,TE,15,85,53,62.4,703,6,70,8.3,13.3,0,0,0,0,0,0,7.1,106.3
7,16656,Logan Thomas,WAS,TE,16,110,72,65.5,670,6,30,6.1,9.3,3,5,1.7,0,0,0,6.5,104.62
8,10974,Rob Gronkowski,TB,TE,16,77,45,58.4,623,7,48,8.1,13.8,0,0,0,0,1,0,6.5,104.3
9,18990,Jonnu Smith,TEN,TE,15,65,41,63.1,448,8,63,6.9,10.9,2,4,2,1,0,0,6.6,99.2
10,11488,Jimmy Graham,CHI,TE,16,76,50,65.8,456,8,30,6,9.1,0,0,0,0,1,0,5.8,93.6
11,19843,Hayden Hurst,ATL,TE,16,88,56,63.6,571,6,42,6.5,10.2,0,0,0,0,0,0,5.8,93.1
12,8534,Jared Cook,NO,TE,15,60,37,61.7,504,7,46,8.4,13.6,0,0,0,0,1,1,6,90.4
13,20753,Noah Fant,DEN,TE,15,93,62,66.7,673,3,37,7.2,10.9,0,0,0,0,0,0,5.8,87.3
14,16451,Eric Ebron,PIT,TE,15,91,56,61.5,558,5,27,6.1,10,0,0,0,0,1,1,5.7,85.8
15,17975,Hunter Henry,LAC,TE,14,93,60,64.5,613,4,33,6.6,10.2,0,0,0,0,0,0,6.1,85.3
16,18032,Tyler Higbee,LAR,TE,15,60,44,73.3,521,5,44,8.7,11.8,1,1,1,0,0,0,5.6,84.2
17,19920,Dalton Schultz,DAL,TE,16,89,63,70.8,615,4,28,6.9,9.8,0,0,0,0,1,1,5.2,83.5
18,18912,Evan Engram,NYG,TE,16,109,63,57.8,654,1,53,6,10.4,6,26,4.3,1,1,1,4.9,78
19,19063,George Kittle,SF,TE,8,63,48,76.2,634,2,44,10.1,13.2,2,17,8.5,0,0,0,9.6,77.1
20,19863,Dallas Goedert,PHI,TE,11,65,46,70.8,524,3,41,8.1,11.4,0,0,0,0,0,0,6.4,70.4
21,20949,Irv Smith Jr.,MIN,TE,13,43,30,69.8,365,5,36,8.5,12.2,0,0,0,0,0,0,5.3,68.5
22,17963,Austin Hooper,CLE,TE,13,70,46,65.7,435,4,36,6.2,9.5,0,0,0,0,0,0,5.2,67.5
23,19659,Dan Arnold,ARI,TE,16,45,31,68.9,438,4,59,9.7,14.1,0,0,0,0,2,1,4.1,65.8
24,15965,Trey Burton,IND,TE,13,47,28,59.6,250,3,20,5.3,8.9,2,3,1.5,2,0,0,4.3,55.3
25,15247,Darren Fells,HOU,TE,16,28,21,75,312,4,44,11.1,14.9,0,0,0,0,0,0,3.4,55.2
26,18935,Gerald Everett,LAR,TE,16,62,41,66.1,417,1,40,6.7,10.2,1,2,2,1,1,1,3.2,51.9
27,18900,Mo Alie-Cox,IND,TE,15,38,31,81.6,394,2,45,10.4,12.7,0,0,0,0,1,1,3.3,49.4
28,15100,Jordan Reed,SF,TE,10,46,26,56.5,231,4,26,5,8.9,0,0,0,0,0,0,4.7,47.1
29,14918,Tyler Eifert,JAX,TE,15,60,36,60,349,2,28,5.8,9.7,0,0,0,0,0,0,3.1,46.9
30,19903,Jordan Akins,HOU,TE,13,49,37,75.5,403,1,26,8.2,10.9,1,4,4,0,0,0,3.6,46.7
31,16491,Richard Rodgers,PHI,TE,14,31,24,77.4,345,2,33,11.1,14.4,0,0,0,0,0,0,3.3,46.5
32,19296,Anthony Firkser,TEN,TE,16,53,39,73.6,387,1,45,7.3,9.9,0,0,0,0,0,0,2.8,44.7
33,20850,Dawson Knox,BUF,TE,12,44,24,54.5,288,3,36,6.5,12,0,0,0,0,2,2,3.6,42.8
34,19947,Chris Herndon,NYJ,TE,16,46,31,67.4,287,3,26,6.2,9.3,0,0,0,0,2,2,2.7,42.7
35,14856,Zach Ertz,PHI,TE,11,72,36,50,335,1,42,4.7,9.3,0,0,0,0,0,0,3.8,41.5
36,15602,Jack Doyle,IND,TE,14,33,23,69.7,251,3,28,7.6,10.9,0,0,0,0,1,1,2.9,41.1
37,19281,Jacob Hollister,SEA,TE,16,40,25,62.5,209,3,20,5.2,8.4,0,0,0,0,0,0,2.6,40.9
38,16593,Cameron Brate,TB,TE,16,34,28,82.4,282,2,25,8.3,10.1,0,0,0,0,0,0,2.5,40.2
39,20931,Drew Sample,CIN,TE,16,53,40,75.5,349,1,23,6.6,8.7,0,0,0,0,1,1,2.4,38.9
40,21783,Harrison Bryant,CLE,TE,15,38,24,63.2,238,3,35,6.3,9.9,0,0,0,0,2,2,2.5,37.8
41,13275,Kyle Rudolph,MIN,TE,12,37,28,75.7,334,1,25,9,11.9,0,0,0,0,1,1,3.1,37.4
42,19950,Will Dissly,SEA,TE,16,29,24,82.8,251,2,28,8.7,10.5,0,0,0,0,0,0,2.3,37.1
43,21772,Cole Kmet,CHI,TE,16,44,28,63.6,243,2,38,5.5,8.7,1,-3,-3,0,1,1,2.1,34
44,20905,Donald Parham Jr.,LAC,TE,13,20,10,50,159,3,26,8,15.9,0,0,0,0,0,0,2.6,33.9
45,18876,David Njoku,CLE,TE,13,29,19,65.5,213,2,28,7.3,11.2,0,0,0,0,0,0,2.6,33.3
46,18931,Adam Shaheen,MIA,TE,16,22,12,54.5,150,3,43,6.8,12.5,0,0,0,0,0,0,2.1,33
47,19943,Durham Smythe,MIA,TE,15,29,26,89.7,208,2,19,7.2,8,0,0,0,0,0,0,2.2,32.8
48,20361,Ross Dwelley,SF,TE,16,24,19,79.2,245,1,36,10.2,12.9,0,0,0,0,0,0,1.9,30.5
49,1658,Greg Olsen,SEA,TE,11,37,24,64.9,239,1,22,6.5,10,0,0,0,0,0,0,2.7,29.9
49,16846,Tyler Kroft,BUF,TE,10,16,12,75,119,3,38,7.4,9.9,0,0,0,0,0,0,3,29.9
51,3061,Marcedes Lewis,GB,TE,15,17,10,58.8,107,3,36,6.3,10.7,0,0,0,0,0,0,1.9,28.7
52,19304,Pharaoh Brown,HOU,TE,13,16,14,87.5,163,2,29,10.2,11.6,0,0,0,0,0,0,2.2,28.3
53,18901,O.J. Howard,TB,TE,4,19,11,57.9,146,2,33,7.7,13.3,0,0,0,0,0,0,6.6,26.6
54,16933,James O'Shaughnessy,JAX,TE,15,38,28,73.7,262,0,26,6.9,9.4,0,0,0,0,0,0,1.7,26.2
55,20884,Foster Moreau,LV,TE,16,9,7,77.8,140,2,47,15.6,20,0,0,0,0,0,0,1.6,26
56,19988,Tyler Conklin,MIN,TE,16,26,19,73.1,194,1,30,7.5,10.2,0,0,0,0,1,0,1.6,25.4
57,16920,Jesse James,DET,TE,16,22,14,63.6,129,2,31,5.9,9.2,0,0,0,0,0,0,1.6,24.9
58,16931,Nick Boyle,BAL,TE,9,17,14,82.4,113,2,21,6.6,8.1,0,0,0,0,0,0,2.6,23.3
59,21786,Adam Trautman,NO,TE,15,16,15,93.8,171,1,41,10.7,11.4,0,0,0,0,0,0,1.5,23.1
60,19910,Ian Thomas,CAR,TE,16,31,20,64.5,145,1,21,4.7,7.2,0,0,0,0,1,0,1.3,20.5
61,722,Jason Witten,LV,TE,16,17,13,76.5,69,2,15,4.1,5.3,0,0,0,0,0,0,1.2,18.9
62,21794,Albert Okwuegbunam,DEN,TE,4,15,11,73.3,121,1,27,8.1,11,0,0,0,0,0,0,4.5,18.1
63,20069,Ryan Izzo,NE,TE,12,20,13,65,199,0,50,10,15.3,0,0,0,0,1,1,1.5,17.9
64,20952,Jace Sternberger,GB,TE,12,15,12,80,114,1,27,7.6,9.5,0,0,0,0,0,0,1.4,17.4
