Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,16470,D. Adams,148,115,1374,18,null,85.1,8.83,1308,93.42,11.4,148,27,11,487,33.86,2.42
2,18082,T. Hill,135,87,1276,15,null,84.92,12.93,1746,116.4,20.1,135,19,13,382,23.39,2.44
3,16906,S. Diggs,166,127,1535,8,null,87.5,10.33,1716,107.25,13.5,166,15,10,507,29.07,1.98
4,14986,D. Hopkins,160,115,1407,6,null,91.05,8.76,1403,87.68,12.2,160,18,10,484,29.41,1.8
5,19802,C. Ridley,143,90,1374,9,null,79.21,14.42,2063,137.53,22.9,143,22,17,422,25.76,1.97
6,21685,J. Jefferson,125,88,1400,7,null,82.3,11.92,1490,93.12,16.9,125,12,8,380,26.48,2.19
7,20875,D. Metcalf,129,83,1303,10,null,92.26,13.82,1783,111.43,21.5,129,16,14,390,24.06,2.1
8,16830,T. Lockett,132,100,1054,10,null,88.54,9.74,1286,80.37,12.9,132,16,14,416,24.62,2.01
9,16263,A. Robinson II,151,102,1250,6,null,84.42,9.86,1490,93.12,14.6,151,19,14,417,25.37,1.74
10,15534,A. Thielen,108,74,925,14,null,92.09,11.95,1291,86.06,17.4,108,20,20,332,25.17,2.35
11,16597,M. Evans,109,70,1006,13,null,79.37,12.14,1324,82.75,18.9,109,19,16,308,17.98,2.28
12,21042,A. Brown,106,70,1075,11,null,81.18,10.66,1130,80.71,16.1,106,12,5,300,25.85,2.33
13,14871,R. Woods,129,90,936,6,null,88.75,7.15,923,57.68,10.3,129,12,5,369,22.95,1.9
14,15076,K. Allen,147,100,992,8,null,81.01,7.36,1082,77.28,10.8,147,16,11,436,27.12,1.67
15,16765,A. Cooper,130,92,1114,5,null,84.26,8.73,1136,71,12.3,130,15,11,379,21.13,1.82
16,18883,J. Smith-Schuster,128,97,831,9,null,81.83,5.74,735.5,45.96,7.6,128,18,9,385,19.63,1.83
17,16568,B. Cooks,119,81,1150,6,null,88.74,11.37,1354,90.26,16.7,119,11,8,356,23.94,1.95
18,13870,M. Jones Jr.,115,76,978,9,null,89.56,12.15,1398,87.37,18.4,115,14,11,337,20.57,1.98
19,18187,R. Anderson,136,95,1096,3,null,77.86,9.76,1328,83,14,136,14,6,443,26.25,1.65
20,20873,T. McLaurin,134,87,1118,4,14.61,93,9.83,1318,87.86,15.1,134,13,6,388,25.42,1.67
21,21077,D. Johnson,144,88,923,7,null,70.05,8.17,1177,78.46,13.4,144,11,6,409,22.89,1.54
22,21679,C. Lamb,111,74,935,5,null,66.27,8.9,988,61.75,13.4,111,11,6,322,18.04,1.96
23,21752,C. Claypool,109,62,873,9,null,60.83,13.28,1448,90.5,23.4,109,13,10,312,16.71,1.97
24,18928,C. Samuel,97,77,851,3,15.2,68.45,7.15,694,46.26,9,97,12,1,303,19.71,2.19
25,19844,D. Moore,118,66,1193,4,null,86.54,13.34,1575,105,23.9,118,8,9,325,24.58,1.79
26,18882,C. Kupp,124,92,974,3,null,79.11,6.6,819,54.6,8.9,124,13,3,363,23.61,1.68
27,14141,C. Beasley,107,82,967,4,null,64.66,7.93,849,56.6,10.4,107,9,4,320,20.03,1.94
28,21690,T. Higgins,108,67,908,6,null,74.48,11.68,1262,78.87,18.8,108,11,7,341,19.08,1.8
29,17986,T. Boyd,110,79,841,4,null,74.5,8.88,977,65.13,12.4,110,14,4,341,20.83,1.75
30,18879,C. Davis,92,65,984,5,null,77.35,11.86,1092,78,16.8,92,8,8,268,23.11,2.08
31,18880,C. Godwin,84,65,840,7,null,84.54,10.3,866,72.16,13.3,84,9,5,263,18.87,2.27
32,17916,W. Fuller V,75,53,879,8,null,87.04,13.06,980,89.09,18.5,75,8,6,219,21.49,2.52
33,16020,J. Landry,101,72,840,3,null,70.42,7.96,804,53.6,11.2,101,17,9,269,24.51,1.86
34,16781,N. Agholor,82,48,896,8,null,67.73,15.52,1273,79.56,26.5,82,12,11,233,16.2,2.26
35,21747,B. Aiyuk,96,60,748,5,null,87,9.12,876,73,14.6,96,14,5,267,24.18,1.92
36,21045,M. Brown,100,58,769,8,null,78.79,12.98,1298,81.12,22.4,100,11,11,270,26.31,1.83
37,20006,R. Gage,110,72,786,4,null,66.78,8.61,948,59.25,13.2,110,16,8,323,18.64,1.65
38,19867,M. Gallup,105,59,843,5,null,88.33,11.88,1248,78,21.2,105,13,10,270,17.07,1.65
39,16866,J. Crowder,88,59,699,6,null,79.75,7.47,658,54.83,11.2,88,10,4,252,24.71,1.95
40,16775,D. Parker,103,63,793,4,null,77.45,10.44,1076,76.85,17.1,103,14,14,308,21.19,1.61
41,11063,E. Sanders,82,61,726,5,null,53.07,8.85,726,51.85,11.9,82,14,7,240,19.15,2.01
42,14005,T. Hilton,93,56,762,5,null,65.72,12.53,1166,77.73,20.8,93,10,7,279,18.82,1.77
43,17961,S. Shepard,90,66,656,3,null,71.68,8.45,761,63.41,11.5,90,11,4,255,23.31,1.81
44,19207,T. Patrick,79,51,742,6,null,75.81,12.44,983,65.53,19.3,79,10,3,201,15.95,2.04
45,21692,J. Jeudy,113,52,856,3,null,78.5,13.59,1536,96,29.5,113,8,8,274,21.2,1.39
46,21697,L. Shenault Jr.,79,58,600,5,null,62.15,6.55,518,37,8.9,79,11,5,227,15.31,1.99
47,19514,K. Cole,88,55,642,5,null,74.85,10.84,954,59.62,17.3,88,10,5,245,15.09,1.77
48,18914,M. Williams,85,48,756,5,null,69.79,14.76,1255,83.66,26.1,85,10,11,236,14.65,1.81
49,19816,D. Chark Jr.,93,53,706,5,null,83.78,13.97,1300,100,24.5,93,12,7,246,19.87,1.65
50,21961,D. Mooney,98,61,631,4,null,73.02,11.8,1157,72.31,19,98,9,8,278,16.47,1.55
51,19815,C. Kirk,79,48,621,6,null,76.56,12,948,67.71,19.8,79,14,7,215,16.32,1.85
52,13291,J. Jones,68,51,771,3,14.84,72.92,11.27,767,85.22,15,68,11,6,197,20.35,2.15
53,20876,J. Meyers,81,59,729,0,null,75.88,10.61,860,61.42,14.6,81,5,3,223,23.2,1.76
54,20943,D. Slayton,97,50,751,3,null,87.21,13.73,1332,83.25,26.6,97,8,7,253,19.4,1.45
55,19976,M. Valdes-Scantling,63,33,690,6,null,76.81,17.46,1100,68.75,33.3,63,6,3,181,12.6,2.18
56,19172,Z. Pascal,71,44,629,5,null,73.69,10.94,777,48.56,17.7,71,14,6,214,13.29,1.93
57,21735,G. Davis,62,35,599,7,null,71.6,15.43,957,59.81,27.3,62,12,12,169,10.85,2.21
58,19705,G. Ward,79,53,419,6,null,68.36,5.86,463,28.93,8.7,79,8,4,227,14.08,1.68
59,20924,H. Renfrow,77,56,656,2,null,49.7,7.16,552,34.5,9.9,77,8,2,231,15.21,1.71
60,19318,K. Bourne,74,49,667,2,null,65.63,9.32,690,46,14.1,74,11,3,228,15.04,1.75
61,20788,M. Hardman,62,41,560,4,null,43.57,10.29,638,39.87,15.6,62,4,4,187,10.19,2.07
62,19017,J. Reynolds,81,52,618,2,null,70.59,10.07,816,51,15.7,81,5,4,236,14.41,1.53
63,18089,R. Higgins,52,37,599,4,null,60.12,14.03,730,56.15,19.7,52,8,6,138,14.24,2.32
64,19120,D. Moore,47,35,417,6,null,46.03,9.02,424,26.5,12.1,47,13,7,148,8.76,2.53
65,11056,A. Brown,61,45,483,4,null,61.46,8.7,531,66.37,11.8,61,6,3,180,19.86,1.92
66,20762,T. Fulgham,67,38,539,4,null,60.09,12.76,855,65.76,22.5,67,10,9,182,15.43,1.73
67,17141,D. Byrd,77,47,604,1,null,90.15,10.81,833,52.06,17.7,77,2,1,214,18.73,1.49
68,12845,A. Green,104,47,523,2,null,79.94,13.23,1376,86,29.3,104,9,10,275,18.37,1.07
69,19864,A. Miller,76,49,485,2,null,53.94,8.88,675,42.18,13.8,76,9,8,211,12.77,1.43
70,18047,D. Robinson,59,45,466,3,null,65.59,8.67,512,32,11.4,59,6,6,178,9.7,1.82
71,9906,D. Amendola,69,46,602,0,null,50.81,8.31,574,41,12.5,69,6,2,198,14.19,1.54
72,19897,T. Smith,50,34,448,4,null,66.08,8.92,446,31.85,13.1,50,8,4,143,11.13,2.06
73,21138,S. Miller,53,33,501,3,null,41.35,16.11,854,53.37,25.9,53,4,5,153,8.74,1.93
74,5571,L. Fitzgerald,72,54,409,1,null,77.32,6.18,445,34.23,8.2,72,7,3,227,16.1,1.4
75,13227,R. Cobb,48,38,441,3,null,61.34,6.7,322,32.2,8.5,48,7,5,145,14.72,2.09
76,21744,M. Pittman Jr.,61,40,503,1,null,75.91,8.49,518,39.84,13,61,9,0,174,14.12,1.62
77,20145,A. Lazard,46,33,451,3,null,72.41,9.5,437,43.7,13.2,46,6,4,151,15.28,2.13
78,20038,B. Berrios,55,37,394,3,null,28.93,7.43,409,25.56,11.1,55,5,1,158,11.85,1.77
79,16837,C. Conley,63,40,471,2,null,45.46,10.66,672,44.8,16.8,63,6,6,178,11.45,1.54
80,16640,J. Brown,52,33,458,3,null,76.07,12.92,672,74.66,20.4,52,8,3,150,16.93,1.86
81,16141,W. Snead IV,48,33,432,3,null,61.78,8.91,428,32.92,13,48,8,2,142,14.63,1.96
82,16003,S. Watkins,55,37,421,2,null,74.23,8.07,444,44.4,12,55,8,3,157,14.03,1.61
83,18103,J. Grant Sr.,54,36,373,1,null,42.75,10.29,556,39.71,15.4,54,4,1,165,11.71,1.62
84,21686,J. Reagor,54,31,396,1,null,68.55,13.4,724,65.81,23.4,54,8,6,142,14.4,1.61
85,19937,K. Coutee,40,33,400,3,null,58.82,9.82,393,49.12,11.9,40,11,5,124,14.86,2.18
86,11611,G. Tate,52,35,388,2,null,56.78,9.13,475,39.58,13.6,52,5,3,166,14.36,1.66
87,20529,C. Sims,49,32,477,1,8.07,57.53,10.24,502,31.37,15.7,49,3,2,136,8.53,1.76
88,17960,M. Thomas,55,40,438,0,null,69.64,9.5,523,74.71,13.1,55,11,0,160,27.91,1.53
89,20932,D. Samuel,44,33,391,1,null,60.8,2.63,116,16.57,3.5,44,2,0,133,18.56,1.83
90,20792,N. Harry,57,33,309,2,null,68.57,8.35,476,34,14.4,57,10,4,142,16.01,1.3
