Rank,PlayerID,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,19801,Josh Allen,BUF,QB,17,409,646,63.3,4407,6.8,36,15,92.17,122,763,6.3,6,23.7,402.58
2,21681,Justin Herbert,LAC,QB,17,443,672,65.9,5014,7.5,38,15,97.66,63,302,4.8,3,22.4,380.76
3,4314,Tom Brady,TB,QB,17,485,719,67.5,5316,7.4,43,12,102.08,28,81,2.9,2,22,374.74
4,18890,Patrick Mahomes,KC,QB,17,436,658,66.3,4839,7.4,37,13,98.45,66,381,5.8,2,21.3,361.66
5,2593,Aaron Rodgers,GB,QB,16,366,531,68.9,4115,7.7,37,4,111.9,33,101,3.1,3,20.8,332.3
6,9038,Matthew Stafford,LAR,QB,17,404,601,67.2,4886,8.1,41,17,102.93,32,43,1.3,0,19.4,329.74
7,18055,Dak Prescott,DAL,QB,16,410,596,68.8,4449,7.5,37,10,104.22,48,146,3,1,20,320.56
8,21693,Joe Burrow,CIN,QB,16,366,520,70.4,4611,8.9,34,14,108.26,40,118,3,2,19.6,314.24
9,21831,Jalen Hurts,PHI,QB,15,265,432,61.3,3144,7.3,16,9,87.19,139,784,5.6,10,20.8,312.16
10,20889,Kyler Murray,ARI,QB,14,333,481,69.2,3787,7.9,24,10,100.55,88,423,4.8,5,21.5,300.48
11,14252,Kirk Cousins,MIN,QB,16,372,561,66.3,4221,7.5,33,7,103.1,29,115,4,1,18.8,300.34
12,13799,Ryan Tannehill,TEN,QB,17,357,531,67.2,3734,7,21,14,89.61,55,270,4.9,7,15.8,268.36
13,17920,Carson Wentz,IND,QB,17,322,516,62.4,3563,6.9,27,7,94.65,57,215,3.8,1,15.2,258.02
14,16311,Derek Carr,LV,QB,17,428,626,68.4,4804,7.7,23,14,93.96,40,108,2.7,0,15.1,256.96
