Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,18877,C. McCaffrey,26.1,219,1098,5,7,124,107,867,6,94.5,82.5,55.3,6,44.7,3.7,6.9,23.7,40.2,35.6
2,19766,S. Barkley,25.4,261,1307,5,11,121,91,721,4,87.9,80.1,25.3,5.2,75.1,4.9,7.03,25.7,48.7,25.7
3,16771,T. Gurley II,27.9,256,1251,4.9,17,81,59,580,4,88.9,86.2,3.9,2.5,97.3,4.9,6.7,14.8,40.2,44.9
4,18878,A. Kamara,27,194,883,4.6,14,105,81,709,4,66.3,58.7,21.6,4.4,79.9,4.5,6.87,20.1,38.1,42.8
5,17923,E. Elliott,27,304,1434,4.7,6,95,77,567,3,93.8,90.1,28.3,4.7,71.7,4.7,7.05,28.3,45.4,26.3
6,16056,J. White,30.4,94,425,4.5,5,123,87,751,7,54.3,38.6,35.1,5.6,64.9,3.9,6.4,12.8,29.8,56.4
7,18983,J. Conner,27.2,215,973,4.5,12,71,55,497,1,79.5,83.1,52.6,5.1,47.4,3.9,7.09,33.5,32.1,34.4
8,16776,M. Gordon III,29.2,175,885,5.1,10,66,50,490,4,71.9,63.9,26.3,5.3,74.3,5,6.75,17.1,44,38.9
9,16847,D. Johnson,30.6,258,940,3.6,7,76,50,446,3,83.1,77.5,22.9,4,77.1,3.5,7.02,31.8,41.9,25.6
10,18858,J. Mixon,26,237,1168,4.9,8,55,43,296,1,73,79.1,33.8,5.4,66.2,4.7,6.63,14.8,35,49.8
11,19003,T. Cohen,26.9,99,444,4.5,3,89,71,725,5,47.9,37.8,81.8,4.5,18.2,4.1,6.36,7.1,32.3,59.6
12,18944,K. Hunt,26.9,181,824,4.6,7,35,26,378,7,73.9,80.9,68,5.4,32,2.7,6.59,19.3,28.7,51.4
13,20128,P. Lindsay,28,192,1037,5.4,9,47,35,241,1,48.7,53.7,21.9,5.8,78.6,5.3,6.88,24,42.2,33.9
14,19119,C. Carson,27.8,247,1151,4.7,9,24,20,163,0,52.4,57.9,54.3,4.9,45.7,4.4,7.01,26.3,41.3,32.4
