Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,21682,Jonathan Taylor,IND,RB,17,332,1811,5.5,18,51,40,360,2,4,2,19.6,333.1
2,19562,Austin Ekeler,LAC,RB,16,206,911,4.4,12,94,70,647,8,4,3,17.1,273.8
3,18858,Joe Mixon,CIN,RB,16,292,1205,4.1,13,48,42,314,3,2,1,15.4,245.9
4,21768,Najee Harris,PIT,RB,17,307,1200,3.9,7,94,74,467,3,0,0,13.3,226.7
5,18983,James Conner,ARI,RB,15,202,752,3.7,15,39,37,375,3,2,0,14.7,220.7
6,17923,Ezekiel Elliott,DAL,RB,17,237,1002,4.2,10,65,47,287,2,1,1,12.1,205.06
7,19798,Nick Chubb,CLE,RB,14,228,1259,5.5,8,25,20,174,1,2,1,14,195.3
8,20790,Damien Harris,NE,RB,15,202,929,4.6,15,21,18,132,0,2,2,12.8,192.1
9,18878,Alvin Kamara,NO,RB,13,240,898,3.7,4,67,47,439,5,0,0,14.4,187.7
10,21861,Antonio Gibson,WAS,RB,16,258,1037,4,7,52,42,294,3,6,4,11.7,187.1
11,18803,Leonard Fournette,TB,RB,14,180,812,4.5,8,84,69,454,2,1,0,13.3,186.6
12,15150,Cordarrelle Patterson,ATL,RB,16,153,618,4,6,69,52,548,5,2,0,11.4,182.6
13,19045,Aaron Jones,GB,RB,15,171,799,4.7,4,65,52,391,6,2,1,11.8,177
14,17959,Derrick Henry,TEN,RB,8,219,937,4.3,10,20,18,154,0,1,0,21.9,175.3
15,18872,Dalvin Cook,MIN,RB,13,249,1159,4.7,6,49,34,224,0,3,2,13.3,172.3
16,20824,Josh Jacobs,LV,RB,15,217,872,4,9,64,54,348,0,2,2,11.5,172
17,16776,Melvin Gordon III,DEN,RB,16,203,918,4.5,8,38,28,213,2,3,3,10.4,167.1
18,22558,Javonte Williams,DEN,RB,17,203,903,4.4,4,53,43,316,3,2,1,9.5,161.9
19,20941,Devin Singletary,BUF,RB,17,188,870,4.6,7,50,40,228,1,5,0,9.3,157.8
20,20882,David Montgomery,CHI,RB,13,225,849,3.8,7,51,42,301,0,1,1,11.8,153
21,21802,AJ Dillon,GB,RB,17,187,803,4.3,5,37,34,313,2,2,1,8.9,151.6
22,20500,Darrel Williams,KC,RB,17,144,558,3.9,6,57,47,452,2,0,0,8.8,149
23,21684,D'Andre Swift,DET,RB,13,151,617,4.1,5,78,62,452,2,2,1,11.3,146.9
24,22535,Elijah Mitchell,SF,RB,11,207,963,4.7,5,20,19,137,1,0,0,13.3,146
25,21970,James Robinson,JAX,RB,14,164,767,4.7,8,46,31,222,0,4,2,10.2,142.9
26,20798,Darrell Henderson Jr.,LAR,RB,12,149,688,4.6,5,40,29,176,3,0,0,11.2,134.4
27,19828,Sony Michel,LAR,RB,17,208,845,4.1,4,33,21,128,1,1,1,7.4,125.3
28,20768,Myles Gaskin,MIA,RB,17,173,612,3.5,3,63,49,234,4,2,1,7.3,124.6
29,22553,Michael Carter,NYJ,RB,14,147,639,4.3,4,55,36,325,0,1,1,8.5,118.4
30,20912,Tony Pollard,DAL,RB,15,130,719,5.5,2,46,39,337,0,2,0,7.8,117.6
31,19799,Rashaad Penny,SEA,RB,10,119,749,6.3,6,8,6,48,0,0,0,11.6,115.7
32,21691,Chuba Hubbard,CAR,RB,17,172,612,3.6,5,37,25,174,1,1,1,6.6,112.6
32,16524,Devonta Freeman,BAL,RB,16,133,576,4.3,5,42,34,190,1,0,0,7,112.6
34,19766,Saquon Barkley,NYG,RB,13,162,593,3.7,2,57,41,263,2,2,1,8.3,107.6
35,17970,Devontae Booker,NYG,RB,16,145,593,4.1,2,45,40,268,1,0,0,6.5,104.1
36,22546,Rhamondre Stevenson,NE,RB,12,133,606,4.6,5,18,14,123,0,2,1,8.4,100.9
37,19919,Chase Edmonds,ARI,RB,12,116,592,5.1,2,53,43,311,0,1,1,8.4,100.3
38,21769,Clyde Edwards-Helaire,KC,RB,10,119,517,4.3,4,23,19,129,2,2,2,9.9,98.6
39,16887,Mike Davis,ATL,RB,17,138,503,3.6,3,58,44,259,1,4,3,5.5,94.2
40,20868,Alexander Mattison,MIN,RB,16,134,491,3.7,3,39,32,228,1,1,1,5.9,93.9
41,18995,Jamaal Williams,DET,RB,13,153,601,3.9,3,28,26,157,0,1,0,7.2,93.8
42,15071,Latavius Murray,BAL,RB,14,119,501,4.2,6,13,10,75,0,0,0,6.7,93.6
43,20933,Miles Sanders,PHI,RB,12,137,754,5.5,0,34,26,158,0,1,1,7.6,91.2
44,18877,Christian McCaffrey,CAR,RB,7,99,442,4.5,1,41,37,343,1,1,0,12.9,90.5
45,22562,Kenneth Gainwell,PHI,RB,16,68,291,4.3,5,50,33,253,1,2,1,5.6,90.4
46,18944,Kareem Hunt,CLE,RB,8,78,386,4.9,5,27,22,174,0,0,0,11,88
47,20039,Boston Scott,PHI,RB,16,87,373,4.3,7,16,13,83,0,1,1,5.4,85.6
48,21593,D'Ernest Johnson,CLE,RB,17,100,534,5.3,3,25,19,137,0,1,0,5,85.1
49,18464,J.D. McKissic,WAS,RB,11,48,212,4.4,2,53,43,397,2,0,0,7.7,84.9
49,18957,D'Onta Foreman,TEN,RB,9,133,566,4.3,3,11,9,123,0,2,1,9.4,84.9
51,13741,Brandon Bolden,NE,RB,17,44,226,5.1,1,49,41,405,2,1,0,4.9,83.1
52,20837,Ty Johnson,NYJ,RB,16,61,238,3.9,2,55,34,372,2,2,1,5.2,83
53,21784,Zack Moss,BUF,RB,13,96,345,3.6,4,32,23,197,1,2,1,6.3,82.2
