Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,15048,T. Kelce,145,105,1416,11,null,84.72,8.58,1245,83,11.9,145,23,11,447,25.13,2.16
2,16964,D. Waller,145,107,1196,9,null,90.6,8,1161,72.56,10.9,145,24,10,440,28.65,1.92
3,16656,L. Thomas,110,72,670,6,11.23,92.79,7.09,780,48.75,10.8,110,18,8,319,19.16,1.61
4,19491,R. Tonyan,59,52,586,11,null,61.18,7.5,443,27.68,8.5,59,11,6,190,11.8,2.99
5,20805,T. Hockenson,101,67,723,6,null,74.87,7.43,751,46.93,11.2,101,16,7,302,18.06,1.74
6,19803,M. Andrews,88,58,701,7,null,64.79,10.35,911,65.07,15.7,88,17,12,259,25.36,1.93
7,19853,M. Gesicki,85,53,703,6,null,62.9,11.9,1012,67.46,19.1,85,15,12,245,16.34,1.87
8,10974,R. Gronkowski,77,45,623,7,null,75.63,11.24,866,54.12,19.2,77,17,12,209,12.7,1.94
9,20753,N. Fant,93,62,673,3,null,72.76,6.64,618,41.2,10,93,12,3,265,18.27,1.61
10,19843,H. Hurst,88,56,571,6,null,70.66,6.97,614,38.37,11,88,16,5,254,14.91,1.69
11,19920,D. Schultz,89,63,615,4,null,85.89,6.49,578,36.12,9.2,89,13,3,271,14.47,1.65
12,17975,H. Henry,93,60,613,4,null,83.17,7.76,722,51.57,12,93,14,8,258,17.15,1.56
13,11488,J. Graham,76,50,456,8,null,58.97,6.46,491,30.68,9.8,76,21,12,212,12.77,1.89
14,16451,E. Ebron,91,56,558,5,null,67.81,7.48,681,45.4,12.2,91,18,7,267,14.94,1.56
15,18912,E. Engram,109,63,654,1,null,82.32,7.24,790,49.37,12.5,109,13,3,314,21.8,1.29
16,18990,J. Smith,65,41,448,8,null,73.04,5.8,377,25.13,9.2,65,18,9,189,15.25,2.16
17,18032,T. Higbee,60,44,521,5,null,77.38,7.98,479,31.93,10.9,60,6,3,187,11.29,2.14
18,8534,J. Cook,60,37,504,7,null,42.14,11.13,668,44.53,18.1,60,15,8,166,12.47,2.12
19,19063,G. Kittle,63,48,634,2,null,83.13,7.3,460,57.5,9.6,63,3,1,191,25.71,1.99
20,19863,D. Goedert,65,46,524,3,null,74.02,8.75,569,51.72,12.4,65,5,5,175,16.66,1.79
21,17963,A. Hooper,70,46,435,4,null,76.42,7.01,491,37.76,10.7,70,9,7,176,19.12,1.62
22,19659,D. Arnold,45,31,438,4,null,41.56,12.46,561,35.06,18.1,45,6,4,125,8.27,2.15
23,18935,G. Everett,62,41,417,1,null,52.53,5.56,345,21.56,8.4,62,5,2,169,11.03,1.5
24,19296,A. Firkser,53,39,387,1,null,28.19,7.11,377,23.56,9.7,53,7,3,169,11.34,1.58
25,19903,J. Akins,49,37,403,1,null,50.06,7.75,380,29.23,10.3,49,8,5,166,11.83,1.71
26,14918,T. Eifert,60,36,349,2,null,55.8,8.03,482,32.13,13.4,60,11,7,158,10.73,1.38
27,18900,M. Alie-Cox,38,31,394,2,null,46.57,6.76,257,17.13,8.3,38,5,2,130,7.72,2.12
28,20931,D. Sample,53,40,349,1,null,80.62,4.24,225,14.06,5.6,53,11,3,167,9.36,1.49
29,14856,Z. Ertz,72,36,335,1,null,80.23,7.38,532,48.36,14.8,72,8,2,174,18.84,1.08
30,19947,C. Herndon,46,31,287,3,null,65.93,7.45,343,21.43,11.1,46,4,4,132,9.91,1.6
