Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,15048,Travis Kelce,KC,TE,16,136,97,71.3,1229,5,47,9,12.7,1,4,4,1,1,1,9.8,157.3
2,19803,Mark Andrews,BAL,TE,15,98,64,65.3,852,10,51,8.7,13.3,0,0,0,0,2,1,9.5,143.2
3,19063,George Kittle,SF,TE,14,107,85,79.4,1053,5,61,9.8,12.4,5,22,4.4,0,1,0,9.8,137.5
4,16964,Darren Waller,LV,TE,16,117,90,76.9,1145,3,75,9.8,12.7,2,5,2.5,0,1,1,8.2,131
5,14856,Zach Ertz,PHI,TE,15,135,88,65.2,916,6,30,6.8,10.4,0,0,0,0,1,1,8.5,127.6
6,8534,Jared Cook,NO,TE,14,65,43,66.2,705,9,61,10.8,16.4,0,0,0,0,0,0,8.9,124.5
7,17963,Austin Hooper,ATL,TE,13,97,75,77.3,787,6,35,8.1,10.5,0,0,0,0,0,0,9,116.7
8,17975,Hunter Henry,LAC,TE,12,76,55,72.4,652,5,30,8.6,11.9,0,0,0,0,1,1,7.9,95.2
9,18032,Tyler Higbee,LAR,TE,15,89,69,77.5,734,3,33,8.2,10.6,0,0,0,0,0,0,6.1,91.4
10,19863,Dallas Goedert,PHI,TE,15,87,58,66.7,607,5,28,7,10.5,0,0,0,0,2,2,5.8,86.7
11,19853,Mike Gesicki,MIA,TE,16,89,51,57.3,570,5,34,6.4,11.2,0,0,0,0,1,1,5.3,85
12,722,Jason Witten,DAL,TE,16,83,63,75.9,529,4,33,6.4,8.4,0,0,0,0,1,1,4.8,76.9
13,15247,Darren Fells,HOU,TE,16,48,34,70.8,341,7,24,7.1,10,0,0,0,0,0,0,4.8,76.1
14,13275,Kyle Rudolph,MIN,TE,16,48,39,81.2,367,6,32,7.6,9.4,0,0,0,0,0,0,4.7,74.7
15,1658,Greg Olsen,CAR,TE,14,82,52,63.4,597,2,41,7.3,11.5,0,0,0,0,0,0,5.1,71.7
