,index,rank,playerplayerid,playershortname,receptions,receivingyards,receivingtds,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
0,0,1,19803,M. Andrews,107,1361,9,76.54,9.35,1440.0,84.7,13.5,20,13,7.35,26.64,1.96,2021,TE,Mark Andrews,BAL,17,154,69.5,43,8.8,12.7,1,0,0.0,0,1,0,11.4,194.1
1,1,2,15048,T. Kelce,92,1125,9,83.09,7.19,971.0,60.68,10.6,16,4,7.74,22.31,1.95,2021,TE,Travis Kelce,KC,16,134,68.7,69,8.4,12.2,2,3,1.5,1,1,1,10.7,170.8
2,2,3,19920,D. Schultz,78,808,8,82.59,7.29,759.0,44.64,9.7,14,7,8.17,16.35,2.01,2021,TE,Dalton Schultz,DAL,17,104,75.0,32,7.8,10.4,0,0,0.0,0,0,0,7.7,130.8
3,3,4,19063,G. Kittle,71,910,6,92.35,6.7,637.0,45.5,9.0,8,5,7.68,24.86,2.08,2021,TE,George Kittle,SF,14,94,75.5,48,9.7,12.8,3,20,6.7,0,2,1,9.1,127.0
4,4,7,10974,R. Gronkowski,55,802,6,76.19,10.53,938.0,78.16,17.1,12,8,7.69,17.21,1.92,2021,TE,Rob Gronkowski,TB,12,89,61.8,42,9.0,14.6,0,0,0.0,0,0,0,9.7,116.2
5,5,11,20850,D. Knox,49,587,9,86.05,7.71,548.0,36.53,11.2,19,11,7.88,13.24,2.31,2021,TE,Dawson Knox,BUF,15,71,69.0,53,8.3,12.0,0,4,0.0,0,0,0,7.7,115.1
6,6,10,17975,H. Henry,50,603,9,66.53,9.56,717.0,42.17,14.3,17,12,7.13,14.5,2.19,2021,TE,Hunter Henry,NE,17,75,66.7,35,8.0,12.1,0,0,0.0,0,0,0,6.7,114.3
7,7,9,19863,D. Goedert,56,830,4,78.04,8.81,670.0,44.66,12.0,6,2,7.76,18.62,2.17,2021,TE,Dallas Goedert,PHI,15,76,73.7,45,10.9,14.8,0,0,0.0,0,1,0,7.3,109.0
8,8,6,22508,K. Pitts,68,1026,1,73.59,10.09,1110.0,65.29,16.3,15,4,7.4,20.25,1.61,2021,TE,Kyle Pitts,ATL,17,110,61.8,61,9.3,15.1,0,0,0.0,0,0,0,6.4,108.6
9,9,5,14856,Z. Ertz,74,763,5,70.22,6.67,748.0,44.0,10.1,18,9,6.69,19.31,1.61,2021,TE,Zach Ertz,ARI,17,112,66.1,47,6.8,10.3,1,4,4.0,0,0,0,6.3,106.7
10,10,8,19853,M. Gesicki,73,780,2,71.65,9.09,1010.0,59.41,13.8,12,5,7.52,18.56,1.49,2021,TE,Mike Gesicki,MIA,17,111,65.8,40,7.0,10.7,0,0,0.0,0,0,0,5.4,92.0
11,11,13,22507,P. Freiermuth,60,497,7,61.84,5.03,398.0,24.87,6.6,20,6,7.62,12.99,1.92,2021,TE,Pat Freiermuth,PIT,16,79,75.9,24,6.3,8.3,0,0,0.0,0,1,1,5.7,91.7
12,12,12,20753,N. Fant,68,670,4,86.5,6.4,576.0,36.0,8.5,16,5,7.8,18.25,1.77,2021,TE,Noah Fant,DEN,16,90,75.6,35,7.4,9.9,0,0,0.0,0,0,0,5.7,91.0
13,13,14,18032,T. Higbee,61,560,5,91.69,5.42,461.0,30.73,7.6,20,8,7.35,15.65,1.73,2021,TE,Tyler Higbee,LAR,15,85,71.8,37,6.6,9.2,0,0,0.0,0,1,0,5.7,86.0
14,14,18,8534,J. Cook,48,564,4,56.95,8.19,680.0,42.5,14.2,13,7,7.1,13.28,1.6,2021,TE,Jared Cook,LAC,16,83,57.8,42,6.8,11.8,0,0,0.0,0,0,0,5.3,84.4
15,15,15,20805,T. Hockenson,61,583,4,83.76,7.24,601.0,50.08,9.9,9,3,7.31,20.95,1.75,2021,TE,T.J. Hockenson,DET,12,83,73.5,33,7.0,9.6,0,0,0.0,0,0,0,7.0,84.3
16,16,19,16917,C. Uzomah,49,493,5,78.75,4.14,261.0,16.31,5.3,6,2,8.29,12.32,2.04,2021,TE,C.J. Uzomah,CIN,16,63,77.8,55,7.8,10.1,0,0,0.0,0,0,0,5.0,79.3
17,17,17,16964,D. Waller,55,665,2,80.87,8.95,833.0,75.72,15.1,15,7,7.23,24.15,1.44,2021,TE,Darren Waller,LV,11,93,59.1,33,7.2,12.1,0,0,0.0,0,0,0,7.1,78.5
18,18,16,19988,T. Conklin,61,593,3,81.34,5.9,514.0,30.23,8.4,15,8,7.98,15.56,1.59,2021,TE,Tyler Conklin,MIN,17,87,70.1,40,6.8,9.7,0,0,0.0,0,1,0,4.5,77.3
19,19,22,18876,D. Njoku,36,475,4,63.44,7.16,380.0,23.75,10.6,9,7,7.4,11.44,2.03,2021,TE,David Njoku,CLE,16,53,67.9,71,9.0,13.2,1,1,1.0,0,0,0,4.5,71.6
20,20,21,18935,G. Everett,48,478,4,73.24,5.42,342.0,22.8,7.1,7,4,7.46,15.03,1.87,2021,TE,Gerald Everett,SEA,15,63,76.2,41,7.6,10.0,3,20,6.7,0,2,2,4.7,69.8
21,21,20,21772,C. Kmet,60,612,0,83.67,7.92,737.0,43.35,12.3,12,5,6.85,17.74,1.3,2021,TE,Cole Kmet,CHI,17,93,64.5,25,6.6,10.2,1,0,0.0,0,0,0,3.6,61.2
22,22,23,18912,E. Engram,46,408,3,74.05,5.6,409.0,27.26,8.9,5,3,6.84,14.83,1.4,2021,TE,Evan Engram,NYG,15,73,63.0,30,5.6,8.9,1,-3,-3.0,0,1,1,3.8,56.5
23,23,24,17963,A. Hooper,38,345,3,68.1,4.82,299.0,18.68,7.9,12,4,6.33,13.39,1.49,2021,TE,Austin Hooper,CLE,16,61,62.3,34,5.7,9.1,0,0,0.0,0,0,0,3.4,54.5
24,24,25,19296,A. Firkser,34,291,2,36.98,5.62,242.0,16.13,7.1,6,3,8.31,9.45,1.84,2021,TE,Anthony Firkser,TEN,15,43,79.1,24,6.8,8.6,0,0,0.0,1,2,1,3.0,45.1
25,25,26,21794,A. Okwuegbunam,33,330,2,45.87,5.52,221.0,15.78,6.7,5,0,8.31,9.92,1.9,2021,TE,Albert Okwuegbunam,DEN,14,40,82.5,64,8.2,10.0,0,0,0.0,0,1,1,3.1,43.0
26,26,27,19659,D. Arnold,35,408,0,51.28,6.37,325.0,29.54,9.3,4,1,7.05,13.6,1.49,2021,TE,Dan Arnold,JAX,11,52,67.3,28,7.8,11.7,0,0,0.0,0,1,1,3.7,40.8
27,27,28,19943,D. Smythe,34,357,0,62.35,6.21,255.0,15.0,7.5,6,1,7.86,6.85,1.71,2021,TE,Durham Smythe,MIA,17,41,82.9,25,8.7,10.5,2,3,1.5,0,0,0,2.1,36.0
28,28,1,15048,T. Kelce,105,1416,11,84.72,8.58,1245.0,83.0,11.9,23,11,447.0,25.13,2.16,2020,TE,Travis Kelce,KC,15,145,72.4,45,9.8,13.5,0,0,0.0,0,1,1,13.9,207.76
29,29,2,16964,D. Waller,107,1196,9,90.6,8.0,1161.0,72.56,10.9,24,10,440.0,28.65,1.92,2020,TE,Darren Waller,LV,16,145,73.8,38,8.2,11.2,0,0,0.0,0,2,2,10.7,171.6
30,30,4,19491,R. Tonyan,52,586,11,61.18,7.5,443.0,27.68,8.5,11,6,190.0,11.8,2.99,2020,TE,Robert Tonyan,GB,16,59,88.1,45,9.9,11.3,0,0,0.0,0,0,0,7.8,124.6
31,31,6,19803,M. Andrews,58,701,7,64.79,10.35,911.0,65.07,15.7,17,12,259.0,25.36,1.93,2020,TE,Mark Andrews,BAL,14,88,65.9,39,8.0,12.1,0,0,0.0,0,2,0,8.0,112.1
32,32,5,20805,T. Hockenson,67,723,6,74.87,7.43,751.0,46.93,11.2,16,7,302.0,18.06,1.74,2020,TE,T.J. Hockenson,DET,16,101,66.3,51,7.2,10.8,1,0,0.0,0,1,1,6.8,108.3
33,33,7,19853,M. Gesicki,53,703,6,62.9,11.9,1012.0,67.46,19.1,15,12,245.0,16.34,1.87,2020,TE,Mike Gesicki,MIA,15,85,62.4,70,8.3,13.3,0,0,0.0,0,0,0,7.1,106.3
34,34,3,16656,L. Thomas,72,670,6,92.79,7.09,780.0,48.75,10.8,18,8,319.0,19.16,1.61,2020,TE,Logan Thomas,WAS,16,110,65.5,30,6.1,9.3,3,5,1.7,0,0,0,6.5,104.62
35,35,8,10974,R. Gronkowski,45,623,7,75.63,11.24,866.0,54.12,19.2,17,12,209.0,12.7,1.94,2020,TE,Rob Gronkowski,TB,16,77,58.4,48,8.1,13.8,0,0,0.0,0,1,0,6.5,104.3
36,36,16,18990,J. Smith,41,448,8,73.04,5.8,377.0,25.13,9.2,18,9,189.0,15.25,2.16,2020,TE,Jonnu Smith,TEN,15,65,63.1,63,6.9,10.9,2,4,2.0,1,0,0,6.6,99.2
37,37,13,11488,J. Graham,50,456,8,58.97,6.46,491.0,30.68,9.8,21,12,212.0,12.77,1.89,2020,TE,Jimmy Graham,CHI,16,76,65.8,30,6.0,9.1,0,0,0.0,0,1,0,5.8,93.6
