,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
0,0,1,18882,C. Kupp,145,1947,94.01,8.32,1590.0,93.52,11.0,38,11,7.76,31.72,2.3,2021,WR,Cooper Kupp,LAR,17,191,75.9,16,59,10.2,13.4,4,18,4.5,0,0,0,17.3,294.5
1,1,3,20932,D. Samuel,77,1405,81.44,8.09,971.0,60.68,12.6,10,6,7.14,27.77,2.82,2021,WR,Deebo Samuel,SF,16,121,63.6,6,83,11.6,18.2,59,365,6.2,8,4,2,16.4,261.96
2,2,5,22564,J. Chase,81,1455,86.11,11.96,1532.0,90.11,18.9,12,12,7.3,23.7,2.38,2021,WR,Ja'Marr Chase,CIN,17,128,63.3,13,82,11.4,18.0,7,21,3.0,0,2,1,13.2,223.6
3,3,4,21685,J. Jefferson,108,1616,89.01,11.95,1996.0,117.41,18.5,23,15,7.41,29.87,1.98,2021,WR,Justin Jefferson,MIN,17,167,64.7,10,56,9.7,15.0,6,14,2.3,0,1,1,13.1,222.4
4,4,2,16470,D. Adams,123,1553,80.33,8.99,1520.0,95.0,12.4,28,11,7.33,31.58,2.04,2021,WR,Davante Adams,GB,16,169,72.8,11,59,9.2,12.6,0,0,0.0,0,0,0,13.8,221.3
5,5,9,16597,M. Evans,74,1035,83.05,12.86,1454.0,90.87,19.6,19,13,6.96,16.42,2.32,2021,WR,Mike Evans,TB,16,114,64.9,14,46,9.1,14.0,1,10,10.0,0,0,0,11.8,188.5
6,6,6,18082,T. Hill,111,1239,73.23,10.74,1709.0,100.52,15.4,24,11,7.79,25.07,1.86,2021,WR,Tyreek Hill,KC,17,159,69.8,9,75,7.8,11.2,9,96,10.7,0,2,1,10.9,185.5
7,7,7,16906,S. Diggs,103,1225,82.74,11.14,1828.0,107.52,17.7,34,23,7.33,26.36,1.74,2021,WR,Stefon Diggs,BUF,17,165,62.4,10,61,7.4,11.9,0,0,0.0,0,1,0,10.7,182.5
8,8,12,18914,M. Williams,76,1146,81.05,10.66,1376.0,86.0,18.1,23,13,7.01,20.77,1.91,2021,WR,Mike Williams,LAC,16,129,58.9,9,72,8.9,15.1,0,0,0.0,0,0,0,10.7,170.6
9,9,14,20875,D. Metcalf,75,967,83.42,12.44,1605.0,94.41,21.4,19,11,7.32,27.27,1.89,2021,WR,DK Metcalf,SEA,17,129,58.1,12,84,7.5,12.9,1,6,6.0,0,1,0,10.0,169.3
10,10,16,16830,T. Lockett,73,1175,87.88,13.63,1459.0,91.18,20.0,7,6,7.28,24.04,2.26,2021,WR,Tyler Lockett,SEA,16,107,68.2,8,69,11.0,16.1,2,9,4.5,0,0,0,10.5,168.4
11,11,8,21077,D. Johnson,107,1161,91.01,8.22,1390.0,86.87,13.0,23,7,7.63,28.49,1.62,2021,WR,Diontae Johnson,PIT,16,169,63.3,8,50,6.9,10.9,5,53,10.6,0,2,2,10.5,167.4
12,12,10,20924,H. Renfrow,103,1038,66.05,6.64,851.0,50.05,8.3,24,11,8.33,21.69,2.02,2021,WR,Hunter Renfrow,LV,17,128,80.5,9,54,8.1,10.1,3,3,1.0,0,5,1,9.2,156.1
13,13,19,21679,C. Lamb,79,1102,77.29,9.35,1123.0,70.18,14.2,11,6,7.29,20.37,1.94,2021,WR,CeeDee Lamb,DAL,16,120,65.8,6,49,9.2,13.9,9,76,8.4,0,0,0,9.6,153.8
14,14,11,15076,K. Allen,106,1138,88.14,8.94,1404.0,87.75,13.2,25,8,7.53,25.12,1.64,2021,WR,Keenan Allen,LAC,16,157,67.5,6,42,7.2,10.7,0,0,0.0,0,1,0,9.5,151.8
15,15,17,21744,M. Pittman Jr.,88,1082,87.74,8.75,1129.0,66.41,12.8,17,8,7.2,25.69,1.85,2021,WR,Michael Pittman Jr.,IND,17,129,68.2,6,57,8.4,12.3,5,44,8.8,0,1,0,8.9,150.6
16,16,24,21690,T. Higgins,74,1091,78.97,11.81,1300.0,92.85,17.6,13,10,7.56,23.86,1.99,2021,WR,Tee Higgins,CIN,14,110,67.3,6,54,9.9,14.7,0,0,0.0,0,1,1,10.4,145.1
17,17,18,19844,D. Moore,93,1157,87.23,10.07,1632.0,96.0,17.5,13,8,6.55,28.37,1.47,2021,WR,DJ Moore,CAR,17,163,57.1,4,64,7.1,12.4,8,48,6.0,0,1,1,8.5,144.5
