Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,18882,C. Kupp,191,145,1947,16,null,94.01,8.32,1590,93.52,11,191,38,11,7.76,31.72,2.3
2,16470,D. Adams,169,123,1553,11,null,80.33,8.99,1520,95,12.4,169,28,11,7.33,31.58,2.04
3,20932,D. Samuel,120,77,1405,6,null,81.44,8.09,971,60.68,12.6,120,10,6,7.14,27.77,2.82
4,21685,J. Jefferson,167,108,1616,10,null,89.01,11.95,1996,117.41,18.5,167,23,15,7.41,29.87,1.98
5,22564,J. Chase,128,81,1455,13,null,86.11,11.96,1532,90.11,18.9,128,12,12,7.3,23.7,2.38
6,18082,T. Hill,159,111,1239,9,null,73.23,10.74,1709,100.52,15.4,159,24,11,7.79,25.07,1.86
7,16906,S. Diggs,164,103,1225,10,null,82.74,11.14,1828,107.52,17.7,164,34,23,7.33,26.36,1.74
8,21077,D. Johnson,169,107,1161,8,null,91.01,8.22,1390,86.87,13,169,23,7,7.63,28.49,1.62
9,16597,M. Evans,113,74,1035,14,null,83.05,12.86,1454,90.87,19.6,113,19,13,6.96,16.42,2.32
10,20924,H. Renfrow,128,103,1038,9,null,66.05,6.64,851,50.05,8.3,128,24,11,8.33,21.69,2.02
11,15076,K. Allen,157,106,1138,6,null,88.14,8.94,1404,87.75,13.2,157,25,8,7.53,25.12,1.64
12,18914,M. Williams,129,76,1146,9,null,81.05,10.66,1376,86,18.1,129,23,13,7.01,20.77,1.91
13,22598,J. Waddle,142,104,1015,6,null,84.22,6.3,895,55.93,8.6,142,15,3,8.02,24.78,1.73
14,20875,D. Metcalf,129,75,967,12,null,83.42,12.44,1605,94.41,21.4,129,19,11,7.32,27.27,1.89
15,18880,C. Godwin,128,98,1103,5,null,86.21,7.01,898,64.14,9.2,128,26,8,7.85,21.29,1.89
16,16830,T. Lockett,107,73,1175,8,null,87.88,13.63,1459,91.18,20,107,7,6,7.28,24.04,2.26
17,21744,M. Pittman Jr.,129,88,1082,6,null,87.74,8.75,1129,66.41,12.8,129,17,8,7.2,25.69,1.85
18,19844,D. Moore,162,93,1157,4,null,87.23,10.07,1632,96,17.5,162,13,8,6.55,28.37,1.47
19,21679,C. Lamb,120,79,1102,6,null,77.29,9.35,1123,70.18,14.2,120,11,6,7.29,20.37,1.94
20,16568,B. Cooks,133,90,1037,6,null,83.96,10.73,1428,89.25,15.9,133,9,5,7.18,26.92,1.74
21,22587,A. St. Brown,119,90,912,5,null,74.52,6.77,806,47.41,9,119,14,4,7.5,21.44,1.91
22,21045,M. Brown,145,91,1008,6,null,80.07,10.46,1518,94.87,16.7,145,16,11,7.03,26.7,1.56
23,21961,D. Mooney,140,81,1055,4,null,87.77,10.56,1479,87,18.3,140,11,8,6.64,26.71,1.57
24,21690,T. Higgins,110,74,1091,6,null,78.97,11.81,1300,92.85,17.6,110,13,10,7.56,23.86,1.99
25,20873,T. McLaurin,131,77,1053,5,13.47,90.08,12.64,1656,97.41,21.5,131,9,10,6.81,24.53,1.63
26,19815,C. Kirk,103,77,982,5,null,73.6,11.24,1158,68.11,15,103,10,8,7.79,18.07,2.02
27,16765,A. Cooper,103,68,865,8,null,77.93,11.5,1185,79,17.4,103,19,9,7.33,18.83,1.97
28,15534,A. Thielen,95,67,726,10,null,84.29,9.9,941,72.38,14,95,15,8,7.23,20.97,2.1
29,20876,J. Meyers,126,83,867,2,null,82.65,9.61,1211,71.23,14.6,126,13,4,7.18,24.37,1.48
30,21687,D. Smith,103,64,916,5,null,82.83,14.43,1487,87.47,23.2,103,8,11,7.03,22.1,1.8
31,17986,T. Boyd,94,67,828,5,null,78.14,7.34,690,43.12,10.3,94,7,4,7.42,18.39,1.96
32,21042,A. Brown,105,63,869,5,null,70.04,10.95,1150,88.46,18.3,105,10,9,7.5,26.99,1.72
33,19318,K. Bourne,70,55,800,5,null,52.81,8.35,585,34.41,10.6,70,7,3,7.89,13.53,2.58
34,13870,M. Jones Jr.,118,73,832,4,null,90.2,11.47,1354,79.64,18.5,118,16,13,7.24,20.27,1.53
35,21747,B. Aiyuk,85,56,826,5,null,83.57,9.48,806,47.41,14.4,85,10,10,7.41,18.51,2
36,21739,V. Jefferson,89,50,802,6,null,81.08,13.28,1182,69.52,23.6,89,16,9,7.02,14.78,1.89
37,21752,C. Claypool,105,59,860,2,null,80.22,11.45,1203,80.2,20.4,105,13,8,7.07,18.65,1.59
38,20006,R. Gage,93,66,770,4,null,72.22,9.17,853,60.92,12.9,93,14,6,7.68,22.03,1.75
39,14141,C. Beasley,112,82,693,1,null,61.31,5.41,606,37.87,7.4,112,13,2,7.74,19.34,1.42
40,21714,K. Osborn,82,50,655,7,null,67.59,10.52,863,50.76,17.3,82,8,5,6.4,14.66,1.93
41,12845,A. Green,92,54,848,3,null,80.22,12.58,1158,72.37,21.4,92,16,11,6.92,16.91,1.7
42,19207,T. Patrick,85,53,734,5,null,82.35,11.8,1003,62.68,18.9,85,11,8,7.2,17.31,1.84
43,21750,M. Callaway,84,46,698,6,null,69.79,12.6,1059,62.29,23,84,9,8,6.87,17.87,1.81
44,19800,C. Sutton,98,58,776,2,null,85.46,15.65,1534,90.23,26.4,98,11,4,7.21,18.91,1.53
45,20013,C. Wilson Jr.,61,45,602,6,null,45.63,9.47,578,36.12,12.8,61,9,2,8.27,10.23,2.42
46,14986,D. Hopkins,63,42,572,8,null,83.85,12.36,779,77.9,18.5,63,15,10,7.26,20.45,2.34
47,20145,A. Lazard,60,40,513,8,null,72.78,11,660,44,16.5,60,16,11,7.5,11.9,2.38
48,20788,M. Hardman,83,59,693,2,null,53.53,7.51,624,36.7,10.6,83,16,3,8.19,13.09,1.7
49,18187,R. Anderson,110,53,519,5,null,85.06,9.74,1072,63.05,20.2,110,8,6,6.15,19.26,1.26
50,22592,E. Moore,77,43,538,5,null,68.1,10.79,831,75.54,19.3,77,8,3,6.78,18.59,1.79
51,14871,R. Woods,69,45,556,4,null,93.65,8.13,561,62.33,12.5,69,16,5,7.31,21.49,1.99
52,16020,J. Landry,85,52,570,2,null,69.61,5.23,445,37.08,8.6,85,10,3,6.38,24.7,1.56
53,18422,K. Raymond,71,48,576,4,null,70.83,9.53,677,42.31,14.1,71,5,0,7.25,13.65,1.86
54,11063,E. Sanders,72,42,626,4,null,77.39,15.62,1125,80.35,26.8,72,10,11,7.15,13.76,1.83
55,16389,O. Beckham Jr.,82,44,537,5,null,72.73,11.45,939,67.07,21.3,82,12,7,6.89,17.74,1.57
56,21697,L. Shenault Jr.,99,63,619,0,null,69.34,5.39,534,33.37,8.5,99,10,4,7.27,18.09,1.28
57,20150,B. Pringle,60,42,568,5,null,47.79,11.1,666,39.17,15.9,60,6,4,7.79,9.46,2.11
58,21735,G. Davis,63,35,549,6,null,49.29,13.39,844,52.75,24.1,63,17,11,6.46,10.88,2
59,11056,A. Brown,62,42,545,4,null,55.81,10.64,660,94.28,15.7,62,3,4,7.7,21.6,1.95
60,20038,B. Berrios,65,46,431,2,null,37.82,4.61,300,18.75,6.5,65,8,2,7.3,11.6,1.86
61,21957,Q. Watkins,62,43,647,1,null,70.28,11.16,692,40.7,16.1,62,7,3,7.37,13.3,1.87
62,21163,D. Harty,59,36,570,3,null,29.23,7.69,454,34.92,12.6,59,5,0,5.38,15.77,1.92
63,16866,J. Crowder,72,51,447,2,null,68.39,6.26,451,37.58,8.8,72,12,2,8.22,16.86,1.52
64,21754,D. Peoples-Jones,58,34,597,3,null,77.1,14.68,852,60.85,25.1,58,4,3,7.11,14.42,1.89
65,21736,B. Edwards,58,34,571,3,null,75.29,14.6,847,52.93,24.9,58,7,8,7.45,10.26,1.88
66,22626,R. Moore,65,54,435,1,null,47.49,3.26,212,15.14,3.9,65,8,1,7.88,14.28,1.68
67,21734,N. Westbrook-Ikhine,56,38,476,4,8.96,58.96,10.69,599,37.43,15.8,56,11,2,7.5,11.22,1.92
68,18926,Z. Jones,70,47,546,1,null,55.01,13.08,916,53.88,19.5,70,5,7,7.42,11.86,1.51
69,18879,C. Davis,59,34,492,4,null,80.11,12.69,749,83.22,22,59,5,3,7.62,18.2,1.78
70,16775,D. Parker,73,40,515,2,null,78.89,10.89,795,79.5,19.9,73,6,7,7.63,21.85,1.42
71,22623,R. Bateman,67,46,515,1,null,68.99,7.97,534,44.5,11.6,67,5,2,7.42,15.83,1.54
72,16781,N. Agholor,63,37,473,3,null,74.02,13.31,839,55.93,22.7,63,7,3,6.74,13.84,1.64
73,19172,Z. Pascal,69,38,384,3,null,80.3,8.59,593,37.06,15.6,69,13,5,7.1,14.55,1.37
74,22613,J. Palmer,49,33,353,4,null,38.98,8.67,425,25,12.9,49,8,4,7.19,7.48,1.9
75,19867,M. Gallup,62,35,445,2,null,76.73,11.17,693,77,19.8,62,8,7,7.37,16.62,1.48
76,18977,K. Golladay,74,37,521,0,null,75.05,13.28,983,70.21,26.6,74,9,7,6.21,16.59,1.2
77,19897,T. Smith,50,32,377,3,null,67.98,9.68,484,44,15.1,50,8,7,7.7,15.01,1.75
78,16263,A. Robinson II,66,38,410,1,null,81.65,10.21,674,56.16,17.7,66,6,5,6.36,19.24,1.32
79,21692,J. Jeudy,56,38,467,0,null,64.45,10.46,586,58.6,15.4,56,3,0,7.05,19.92,1.52
80,21756,N. Collins,61,33,446,1,null,61.92,10.7,653,46.64,19.8,61,6,5,6.55,13.55,1.37
81,21721,D. Duvernay,47,33,272,2,null,51.17,6.21,292,18.25,8.8,47,8,4,7.55,8.68,1.77
82,17914,L. Treadwell,51,33,434,1,null,66.14,11.84,604,50.33,18.3,51,6,4,7.5,12.91,1.62
83,22614,K. Toney,57,39,420,0,null,47.98,6.28,358,35.8,9.2,57,5,1,7.01,16.23,1.44
84,17290,A. Humphries,62,41,383,0,9.79,58.66,6.61,410,24.11,10,62,5,2,6.89,11.61,1.28
85,21686,J. Reagor,57,33,299,2,null,66.79,8.85,505,29.7,15.3,57,5,2,7.23,12.23,1.37
86,17961,S. Shepard,53,36,366,1,null,73.87,6.13,325,46.42,9,53,9,1,6.27,21.03,1.47
87,21675,T. Johnson,55,36,360,0,null,51.5,7.92,436,25.64,12.1,55,9,4,7,7.67,1.31
88,19961,R. McCloud,66,39,277,0,null,47.64,5.81,384,24,9.8,66,10,2,5.87,10.8,1
