Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,18082,Tyreek Hill,KC,WR,16,137,87,63.5,1479,12,75,10.8,17,22,151,6.9,1,0,0,15.1,241
2,11056,Antonio Brown,PIT,WR,15,168,104,61.9,1297,15,78,7.7,12.5,0,0,0,0,0,0,14.6,219.7
3,16470,Davante Adams,GB,WR,15,169,111,65.7,1386,13,57,8.2,12.5,0,0,0,0,0,0,14.6,218.6
4,14986,DeAndre Hopkins,HOU,WR,16,163,115,70.6,1572,11,49,9.6,13.7,1,-7,-7,0,2,2,13.7,218.5
5,13291,Julio Jones,ATL,WR,16,170,113,66.5,1677,8,58,9.9,14.8,2,12,6,0,2,2,13.3,212.9
6,16597,Mike Evans,TB,WR,16,139,86,61.9,1524,8,72,11,17.7,0,0,0,1,2,1,12.8,204.4
7,15534,Adam Thielen,MIN,WR,16,155,113,72.9,1373,9,68,8.9,12.2,5,30,6,0,1,1,12.1,194.3
8,17960,Michael Thomas,NO,WR,16,147,125,85,1405,9,72,9.6,11.2,0,0,0,0,2,2,11.9,190.5
9,18883,JuJu Smith-Schuster,PIT,WR,16,166,111,66.9,1426,7,97,8.6,12.8,1,13,13,0,1,1,11.6,185.9
10,14871,Robert Woods,LAR,WR,16,130,86,66.2,1219,6,39,9.4,14.2,19,157,8.3,1,0,0,11.2,179.6
11,16830,Tyler Lockett,SEA,WR,16,71,57,80.3,965,10,52,13.6,16.9,13,69,5.3,0,2,0,10.3,165.4
12,16906,Stefon Diggs,MIN,WR,15,150,102,68,1021,9,75,6.8,10,10,62,6.2,0,0,0,11,164.3
13,16568,Brandin Cooks,LAR,WR,16,117,80,68.4,1204,5,57,10.3,15,10,68,6.8,1,1,0,10.2,163.2
14,15076,Keenan Allen,LAC,WR,16,136,97,71.3,1196,6,54,8.8,12.3,9,75,8.3,0,3,1,10.2,163.1
15,14005,T.Y. Hilton,IND,WR,14,120,76,63.3,1270,6,68,10.6,16.7,0,0,0,0,0,0,11.6,163
16,16389,Odell Beckham Jr.,NYG,WR,12,124,77,62.1,1052,6,51,8.5,13.7,5,19,3.8,0,2,1,12.8,153.34
17,17986,Tyler Boyd,CIN,WR,14,108,76,70.4,1028,7,49,9.5,13.5,2,3,1.5,0,0,0,10.4,145.1
18,19802,Calvin Ridley,ATL,WR,16,92,64,69.6,821,10,75,8.9,12.8,6,27,4.5,0,2,1,8.9,142.8
19,16765,Amari Cooper,DAL,WR,15,107,75,70.1,1004,7,90,9.4,13.4,2,20,10,0,2,2,9.4,140.4
20,18914,Mike Williams,LAC,WR,16,66,43,65.2,664,10,55,10.1,15.4,7,28,4,1,0,0,8.6,137.2
21,18977,Kenny Golladay,DET,WR,15,119,70,58.8,1063,5,60,8.9,15.2,1,8,8,0,1,0,9.1,137.1
22,16020,Jarvis Landry,CLE,WR,16,149,81,54.4,976,4,51,6.6,12,3,60,20,1,1,1,8.5,136.12
23,8355,Julian Edelman,NE,WR,12,108,74,68.5,850,6,36,7.9,11.5,9,107,11.9,0,1,0,11.1,133.42
24,11063,Emmanuel Sanders,DEN,WR,12,98,71,72.4,868,4,64,8.9,12.2,4,53,13.2,1,1,0,10.6,127.22
25,18880,Chris Godwin,TB,WR,16,95,59,62.1,842,7,48,8.9,14.3,0,0,0,0,4,1,7.9,126.2
26,14187,Alshon Jeffery,PHI,WR,13,92,65,70.7,843,6,52,9.2,13,0,0,0,0,1,0,9.3,120.3
27,18879,Corey Davis,TEN,WR,16,112,65,58,891,4,51,8,13.7,6,55,9.2,0,1,0,7.4,118.6
28,5571,Larry Fitzgerald,ARI,WR,16,112,69,61.6,734,6,37,6.6,10.6,0,0,0,0,0,0,7.3,116.68
29,17961,Sterling Shepard,NYG,WR,16,107,66,61.7,872,4,58,8.1,13.2,3,33,11,0,1,0,7.3,116.5
30,13878,Mohamed Sanu Sr.,ATL,WR,16,94,66,70.2,838,4,44,8.9,12.7,7,44,6.3,0,2,1,7.3,116.4
31,17290,Adam Humphries,TB,WR,16,105,76,72.4,816,5,51,7.8,10.7,2,11,5.5,0,2,0,7,112.7
32,3943,DeSean Jackson,TB,WR,12,74,41,55.4,774,4,75,10.5,18.9,6,29,4.8,1,0,0,9.2,110.3
33,18926,Zay Jones,BUF,WR,16,102,56,54.9,652,7,57,6.4,11.6,1,0,0,0,1,0,6.8,109.2
34,11611,Golden Tate,PHI,WR,15,113,74,65.5,795,4,67,7,10.7,4,34,8.5,0,2,0,7.3,108.9
35,18992,Dede Westbrook,JAX,WR,16,101,66,65.3,717,5,61,7.1,10.9,9,98,10.9,0,3,2,6.7,107.5
36,18187,Robby Anderson,NYJ,WR,14,93,50,53.8,752,6,76,8.1,15,2,-8,-4,0,2,2,7.6,106.4
37,12845,A.J. Green,CIN,WR,9,77,46,59.7,694,6,38,9,15.1,0,0,0,0,2,1,11.5,103.4
38,19844,DJ Moore,CAR,WR,16,82,55,67.1,788,2,82,9.6,14.3,13,172,13.2,0,4,3,6.4,102
39,16640,John Brown,BAL,WR,16,97,42,43.3,715,5,71,7.4,17,3,4,1.3,0,0,0,6.4,101.9
40,16781,Nelson Agholor,PHI,WR,16,97,64,66,736,4,83,7.6,11.5,3,32,10.7,0,1,0,6.3,101.4
41,16263,Allen Robinson II,CHI,WR,13,94,55,58.5,754,4,43,8,13.7,1,9,9,0,1,1,7.6,98.3
42,18928,Curtis Samuel,CAR,WR,13,65,39,60,494,5,53,7.6,12.7,8,84,10.5,2,1,1,7.5,97.8
43,11197,Demaryius Thomas,HOU,WR,15,89,59,66.3,677,5,45,7.6,11.5,0,0,0,0,0,0,6.5,97.7
43,14587,Josh Gordon,NE,WR,12,71,41,57.7,737,4,55,10.4,18,0,0,0,0,0,0,8.1,97.7
45,15196,Kenny Stills,MIA,WR,15,64,37,57.8,553,6,75,8.6,14.9,0,0,0,0,1,0,6.5,97.42
